Id,Label
410,186.1
411,186.0
412,168.7
413,165.3
414,159.1
415,147.6
416,146.0
417,147.8
418,149.1
419,155.4
420,153.8
421,150.7
422,151.6
423,198.1
424,152.7
425,149.5
426,157.0
427,139.1
428,114.0
429,117.1
430,104.0
431,89.1
432,91.2
433,88.0
434,86.5
435,91.1
436,92.6
437,103.1
438,104.5
439,91.1
440,99.7
441,121.7
442,131.0
443,131.0
444,135.8
445,175.0
446,269.4
447,344.5
448,347.5
449,325.9
450,323.1
451,359.3
452,313.4
453,205.0
454,215.4
455,216.2
456,163.8
457,174.7
458,147.0
459,152.0
460,140.0
461,116.1
462,136.3
463,134.2
464,129.5
465,117.0
466,153.0
467,141.3
468,141.3
469,92.1
470,128.4
471,63.1
472,62.7
473,62.9
474,62.9
475,62.8
476,63.1
477,61.9
478,61.8
479,61.8
480,62.1
481,49.7
482,49.1
483,49.7
484,49.0
485,49.0
486,55.0
487,55.7
488,55.6
489,56.6
490,57.2
491,57.3
492,57.8
493,60.4
494,60.4
495,60.0
496,60.2
497,60.3
498,60.5
499,60.8
500,57.8
501,58.7
502,59.5
503,59.3
504,53.7
505,53.2
506,53.5
507,54.2
508,54.2
509,54.9
510,55.6
511,56.7
512,56.8
513,56.5
514,56.4
515,55.9
516,55.5
517,55.4
518,54.8
519,54.5
520,57.8
521,75.6
522,91.1
523,96.0
524,150.2
525,192.6
526,193.9
527,179.7
528,239.6
529,271.3
530,278.6
531,286.8
532,297.8
533,303.1
534,286.8
535,275.5
536,264.4
537,262.0
538,256.1
539,242.0
540,233.0
541,236.9
542,243.8
543,247.6
544,267.1
545,239.8
546,216.7
547,215.5
548,223.2
549,206.2
550,231.8
551,253.5
552,268.0
553,247.2
554,250.1
555,264.1
556,269.6
557,239.7
558,237.9
559,319.8
560,332.0
561,325.9
562,298.8
563,277.7
564,304.9
565,280.4
566,290.6
567,330.7
568,354.4
569,303.8
570,532.5
571,515.6
572,496.8
573,521.4
574,507.3
575,517.6
576,512.3
577,483.4
578,482.1
579,479.5
580,485.4
581,501.3
582,513.7
583,506.5
584,489.9
585,461.2
586,464.2
587,450.8
588,455.9
589,436.5
